x y
188.8531607708025 699.2338298177244
901.9960191019051 992.0492973757206
486.4035904500506 1484.953423788176
1298.6897633729252 1306.403935731668
500.46859613846635 1500.6214977052193
908.4729540134338 1015.139867686201
1319.718435735222 1304.2896705569738
192.79068736339215 696.4848257300338
989.5228045615959 1210.4912752707594
515.5031209127377 1508.5167433793913
497.5500117335534 1487.2364757322953
483.3756122696261 1494.9607131435218
1500.551210738386 1411.49050657773
1105.6751350451282 404.0289011753318
1402.1395054396517 193.99506786826
1409.2588830148386 207.0010631881524
1502.2387820300232 1413.049150088376
205.36446500008796 708.6670317202457
904.0646018285422 1006.0178131352168
1510.5930550102928 1394.681779182948
895.953777371139 1011.789484054274
993.505265523756 1199.970829605011
497.17025952741994 1491.0831527748417
1002.8538486908757 1187.1119813909004
1402.873074760789 184.65908101588434
1006.2366675680482 1212.112775031308
1503.7990891622997 1403.0005572520386
500.35953581742604 1497.427270070519
205.83857473310664 694.1654178747913
194.45038634773346 681.0402960269915
1108.587983599207 396.81035495353973
1404.2648427444503 204.94463314234025
904.1688989089608 991.8627344463107
1100.5481579136085 410.97184014002386
889.6718607016358 995.7254156006389
201.27015758091846 702.9430658507466
996.063965453646 1206.9349256613336
507.9853167056003 1509.0346020240934
204.95756118936646 695.8970804823238
1499.416383497749 1393.9761466436548
203.1041762931015 705.950265894889
1119.232327534558 393.91353261861525
1312.5749365639851 1303.4535806045808
1403.7450328408763 197.10725886090563
1299.6140164761398 1298.1372717302845
1094.3709335036551 390.22102663857646
915.9451408389798 1001.9479344851941
1503.8396744157333 1381.983469524571
1308.3033926365904 1296.8864404105545
916.3039172023966 1001.4831301518881
1297.88108556492 1300.119527988103
898.7431861818252 991.5874017967649
1003.066976062704 1198.3768759728514
1401.2641312455676 188.75317269218874
1499.9757243788222 1406.9370605566419
997.6402904506223 1188.1762886777244
202.04259411332137 714.6230282318663
998.916169327606 1183.7441689444026
1391.6045338755437 203.32466532710794
1494.0888827351193 1401.2699630866748
1294.8325737895507 1315.1628774330036
1402.1070499360133 198.4034452391401
1015.8022546048393 1184.085447666193
1099.2709003934467 414.4193392717216
905.7948029879233 999.0048866837549
1101.8459862141003 408.7267926999548
1402.0110540546725 202.6579049692191
507.4164841691701 1501.2265458177853
1002.5912961567682 1210.2486500986513
1287.9270941238913 1309.9746870710035
194.23931701591545 712.1479450573394
1293.7916990386493 1300.5956809162765
1101.2160919450769 415.3639670993568
496.07816702613843 1491.4410981245048
1408.6308277306055 182.09095754616368
1502.15875057477 1394.2149822432611
1309.1451530020804 1297.6337203977928
1509.1545861460447 1409.970783438585
1083.3951343095164 412.08932917766793
1089.403752178304 392.48549617908776
